"id","code","name","rent_law_article","rent_ocde_code","active"
l10n_pe_table_31_0001,"00","Bienes","","","false"
l10n_pe_table_31_0002,"01","Arrendamiento de predios","Art. 9° a)","06","false"
l10n_pe_table_31_0003,"02","Enajenación Inmuebles y derechos sobre inmuebles","Art. 9° a)","06","false"
l10n_pe_table_31_0004,"03","Rentas de bienes situados en el país o derechos utilizados en el país, incluye enajenación.","Art. 9° b)","12","false"
l10n_pe_table_31_0005,"04","Regalias: Bienes o derechos por los que pagan son utilizados país.","Art. 9° b)","12","false"
l10n_pe_table_31_0006,"05","Regalias: Pagador de las regalías es domiciliado.","Art. 9° b)","12","false"
l10n_pe_table_31_0007,"06","Por capitales,  intereses, comisiones, primas - operaciones financieras - capital utilizado en el país o el pagador sea un sujeto domiciliado. Originadas por fondos de cualquier tipo de entidad, por cesión a terceros de un capital, por operaciones de capitalización o por contratos de seguro de vida o invalidez que no tengan su origen en el trabajo personal.","Art. 9° c)","11","false"
l10n_pe_table_31_0008,"07","Dividendos y cualquier otra forma de distribución de utilidades, cuando la empresa que los distribuye, pague y acredite se encuentre domiciliada en el país, o cuando el fondo de inversión, patrimonio fideicometido o fiduciario banacario, fondo de pensiones, que lo distribuya, pague o acredite, se encuentre constituido o establecido en el país","Art. 9° d)","10","false"
l10n_pe_table_31_0009,"08","Los rendimientos de los ADR y GDRs que tengan como subyacentes acciones emitidas por empresas no domiciliadas","Art. 9° d)","10","false"
l10n_pe_table_31_0010,"09","Originadas en actividades civiles, comerciales, empresariales o de cualquier índole, que se lleven a cabo en territorio nacional.","Art. 9° e)","21","false"
l10n_pe_table_31_0011,"10","Originadas en el trabajo personal que lleven a cabo en el territorio nacional No comprende cuando se ingresa al país  temporalmente a efectuar: actos previos a la realización de inversiones extranjeras; actos destinados a supervisar o controlar la inversión o el negocio, tales como los de recolección de datos o información o la realización de entrevistas; actos relacionados con la contratación de personal local; actos relacionados con la firma de convenios o actos similares. ","Art. 9° f)","15","false"
l10n_pe_table_31_0012,"11","Rentas vitalicias y las pensiones que tengan su origen en el trabajo personal, pagadas por un sujeto domiciliada ","Art. 9° g)","18","false"
l10n_pe_table_31_0013,"12","Las obtenidas por la enajenación de acciones y participaciones representativas del capital,  cuando las empresas, que los hayan emitido estén constituidos o establecidos en el Perú. Fuera de Bolsa","Art. 9° h)","13","false"
l10n_pe_table_31_0014,"13","Las obtenidas por la enajenación,  de  certificados, títulos, bonos y papeles comerciales, valores representativos de cédulas hipotecarias, obligaciones al portador u otros valores al portador y otros valores mobiliarios cuando los  Fondos de Inversión, Fondos Mutuos de Inversión en Valores o Patrimonios Fideicometidos que los hayan emitido estén constituidos o establecidos en el Perú.  Fuera de Bolsa","Art. 9° h)","13","false"
l10n_pe_table_31_0015,"14","Las obtenidas por la redención o rescate de certificados, títulos, bonos y papeles comerciales, valores representativos de cédulas hipotecarias, obligaciones al portador u otros valores al portador y otros valores mobiliarios cuando los  Fondos de Inversión, Fondos Mutuos de Inversión en Valores o Patrimonios Fideicometidos que los hayan emitido estén constituidos o establecidos en el Perú.  Fuera de Bolsa","Art. 9° h)","13","false"
l10n_pe_table_31_0016,"15","Las obtenidas por la enajenación de acciones y participaciones representativas del capital, acciones de inversión, certificados, títulos, bonos y papeles comerciales, valores representativos de cédulas hipotecarias, obligaciones al portador u otros valores al portador y otros valores mobiliarios cuando las empresas, sociedades, Fondos de Inversión, Fondos Mutuos de Inversión en Valores o Patrimonios Fideicometidos que los hayan emitido estén constituidos o establecidos en el Perú.  Dentro de Bolsa","Art. 9° h)","13","false"
